molecule,logp,dataset_type
C#CC1(O)CCC2C3CCC4=CC(O)=CCC4C3C(=C)CC21CC,3.16,train
C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3CCC21C,3.62,train
C#CC1(O)CCC2C3CCC4=CCCCC4(C)C3CCC21,4.75,train
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,5.65,validation
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.21,train
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.28,train
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,4.68,train
C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,6.46,train
C#CC1(O)CCCC1,1.32,train
C#CC1(O)CCCCC1,1.73,test
C#CC1(O)CCCCC1C,2.23,train
C#CC1(O)c2ccccc2CCc2ncccc21,2.68,train
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4C=C(O)CCC4(C)C3CCC21C,4.49,train
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,4.49,validation
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(O)=CCC4(C)C3CCC21C,4.49,train
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.49,validation
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,4.44,test
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CCC4=CC(O)=CCC4(C)C3CCC21C,4.49,test
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,6.45,test
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,4.98,validation
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,3.99,train
C#CC1(OC(C)=O)CCCCC1,2.82,test
