molecule,logp,dataset_type
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,validation
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,test
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(Cl)c(Cl)c1,2.15,test
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,test
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,validation
COC(=O)C(C)N=P(O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1cccc(I)c1,1.78,validation
COC(=O)C(C)NC(C)=O,-0.57,train
COC(=O)C(C)NP(=O)(OCC1C=CC(N2C=C(C)C(=O)[N]C2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(N2C=C(C)C(=O)[N]C2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)NP(=O)(OCC1C=CC(N2C=C(C)C(=O)[N]C2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)NP(=O)(OCC1C=CC(N2C=C(C)C(=O)[N]C2=O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(Br)cc1,1.6,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(C#N)cc1,0.91,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(C(F)(F)F)cc1,1.57,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(C)cc1,1.19,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(Cl)cc1,1.43,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(F)cc1,1.1,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(I)cc1,1.93,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc(OC)cc1,1.09,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccc([N+](=O)[O-])cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(Br)c1,1.64,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(C(C)=O)c1,0.92,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(C(F)(F)F)c1,1.57,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(Cl)c1,1.42,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(F)c1,1.08,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccccc1,1.04,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)[nH]c2=O)O1)Oc1ccccc1Cl,1.37,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,validation
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(C(C)=O)cc1,0.9,validation
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(Cl)c(Cl)c1,2.15,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1ccc(OC(F)(F)F)cc1,1.86,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(=O)nc2[O])O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c(O)nc2=O)O1)Oc1cccc(I)c1,1.78,test
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(C(C)=O)cc1,0.9,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(Cl)c(Cl)c1,2.15,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1ccc(OC(F)(F)F)cc1,1.86,train
COC(=O)C(C)NP(=O)(OCC1C=CC(n2cc(C)c([O])nc2=O)O1)Oc1cccc(I)c1,1.78,train
COC(=O)C(C)O,-0.67,train
COC(=O)C(C)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,1.06,train
COC(=O)C(C)c1ccc(-n2sc3ccccc3c2=O)cc1,3.46,train
COC(=O)C(C)c1nc([N+](=O)[O-])c[nH]1,0.17,test
COC(=O)C(CC(C)C)NC(C)=O,0.84,train
COC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.28,validation
COC(=O)C(CN(Cc1ccccc1)Cc1ccccc1)=NO,4.97,train
COC(=O)C(Cc1ccc(O)cc1)NC(C)=O,0.33,train
COC(=O)C(Cc1ccc([N+](=O)[O-])cc1)NC(=O)c1cccc2ccccc12,3.58,test
COC(=O)C(Cc1ccccc1)(Cc1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,4.46,validation
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0.07,train
COC(=O)C(Cl)C(C)(O)P(=O)(OC)OC,-0.75,train
COC(=O)C(Cl)C(Cl)C(=O)OC,0.77,test
COC(=O)C(Cl)Cc1ccc(Cl)cc1,3.4,validation
COC(=O)C(Cl)Cl,0.81,test
COC(=O)C(F)(Br)C(F)(F)C(F)(F)F,3.12,train
COC(=O)C(F)(F)C(=O)F,-0.77,test
COC(=O)C(F)(F)C(=O)OC,0.39,validation
COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.59,train
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.72,validation
COC(=O)C(F)(F)C(F)(F)F,1.75,train
COC(=O)C(F)(F)C(F)(F)OC,1.6,train
COC(=O)C(F)(F)F,0.6,validation
COC(=O)C(F)C(F)(F)F,1.15,test
COC(=O)C(N)CS,-0.74,train
COC(=O)C(N)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,6.43,train
COC(=O)C(N)Cc1ccc(Cl)cc1,1.67,validation
COC(=O)C(N)Cc1ccc(O)cc1,0.29,train
COC(=O)C(O)(c1ccccc1)c1ccccc1,2.21,test
COC(=O)C(O)C(O)C(=O)O,-1.04,train
COC(=O)C(O)C(O)C(=O)OC,-1.07,train
COC(=O)C(O)CCF,-0.24,train
COC(=O)C(O)c1ccccc1,0.54,test
COC(=O)C(c1ccccc1)C(C)C,3.33,train
COC(=O)C(c1ccccc1)C1CCCCN1,0.2,validation
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,3.69,train
COC(=O)C1(C)C(O)CCC2(C)C3CCC(=CC(=O)OCCN(C)C)C(C)C3C(=O)CC21,2.7,test
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,7.87,train
COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OCCN(C)C)C(C)C3C(=O)CC12,4.23,train
COC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12,6.75,test
COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,2.86,train
COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CC1,2.32,train
COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCC1,2.45,test
COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCC1,2.73,test
COC(=O)C1(S(=O)(=O)c2ccc(Br)cc2)CCCCC1,2.94,validation
COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CC1,1.77,train
COC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCCC1,2.54,test
COC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CCC1,2.28,train
COC(=O)C1(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,1.33,train
COC(=O)C1(S(=O)(=O)c2ccccc2)CC1,1.43,train
COC(=O)C1(S(=O)(=O)c2ccccc2)CCC1,1.63,train
COC(=O)C1(S(=O)(=O)c2ccccc2)CCCC1,1.98,train
COC(=O)C1(S(=O)(=O)c2ccccc2)CCCCC1,2.3,train
COC(=O)C1(c2ccccc2)CCC(N(C)C)c2ccccc21,4.23,train
COC(=O)C1(n2ccnc2[N+](=O)[O-])CC(OC(C)=O)C(NC(C)=O)C(C(OC(C)=O)C(COC(C)=O)OC(C)=O)O1,0.41,train
COC(=O)C12OCC34C(CC5C(C)=C(O)C(=O)CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)C=C(C)C(C)C)C24,1.66,train
COC(=O)C1=C(C(=O)OC)CCCC1,3.18,train
COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2c1OCO2,4.15,validation
COC(=O)C1=C(C)N=C(C)C(C(=O)OCc2cccnc2)C1c1cccc2c1OCO2,3.61,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2c1OCO2,4.15,validation
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc2c1OCO2,3.46,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1,4.61,validation
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,3.82,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,5.2,test
COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cccnc2)C1c1cccc2c1OCO2,3.61,train
COC(=O)C1=C(C)NC(C)=C(P2(=O)OCCCO2)C1c1ccccc1[N+](=O)[O-],1.3,test
COC(=O)C1=C(Cl)NN(C)C1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,-0.02,train
COC(=O)C1=CCCN(C)C1,0.35,validation
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,1.88,train
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,2.23,validation
COC(=O)C1C(C)=NC(C)=C(C(=O)OC(C)C)C1c1cccc2c1OCO2,4.15,test
COC(=O)C1C(C)=NC(C)=C(C(=O)OCc2cccnc2)C1c1cccc2c1OCO2,3.61,test
COC(=O)C1C(C=C(C)C)C1(C)C,3.76,test
COC(=O)C1C(C=C(Cl)Cl)C1(C)C,3.63,train
COC(=O)C1C(C=C2CCSC2=O)C1(C)C,2.33,validation
COC(=O)C1C(O)C(OC(=O)c2cc(OC)c(OC)c(OC)c2)CC2CN3CCc4c([nH]c5ccccc45)C3CC21,2.54,train
COC(=O)C1C(OC(C)=O)CC2CCC1N2C,0.71,train
COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2CCCF,2.3,train
COC(=O)C1C2C=CC(C2)C1C(=O)OC,1.78,train
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.32,test
COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,3.24,test
COC(=O)C1C2CCC(CC1C(=O)Oc1ccccc1)N2,1.72,train
COC(=O)C1CC(=O)N(C)C1,-0.74,train
COC(=O)C1CC1,1.17,validation
COC(=O)C1CC2(C(=O)OC)C=CC1C2,1.82,train
COC(=O)C1CC2=CC(=O)CCC2(C)C2(C)CCC3C(CCC34CCC(=O)O4)C12,1.94,test
COC(=O)C1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,1.78,validation
COC(=O)C1CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)CO,1.7,train
COC(=O)C1CC2CC1C(C)(C)C2,3.4,test
COC(=O)C1CC=CCC1C(=O)OC,1.89,train
COC(=O)C1CCCC(NC(=O)N(CCCl)N=O)C1,1.89,train
COC(=O)C1CCCCC1,2.64,train
COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,1.42,train
COC(=O)C1CCN1CC(O)Cn1ccnc1,-0.29,train
COC(=O)C1CCc2cc(C3CCCCC3)ccc21,5.75,train
COC(=O)C1Oc2c(OC)ccc3c2C12CCN(C)C(C3)C2=CC=O,0.96,test
COC(=O)C=C(C)C,1.69,train
COC(=O)C=C(C)C(=O)O,1.47,train
COC(=O)C=C(C)C(=O)OC,1.76,train
COC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,8.14,train
COC(=O)C=C(C)N,-0.27,train
COC(=O)C=C(C)OP(=O)(OC(C)C)OC(C)(C)Cl,2.5,train
COC(=O)C=C(C)OP(=O)(OC(C)C)OC(C)(Cl)CCl,2.75,train
COC(=O)C=C(CC(=O)OC)OP(=O)(OC)OC,-0.7,train
COC(=O)C=C(Cl)C(=O)OC,1.71,train
COC(=O)C=CC(C)=CC(=O)O,1.22,validation
COC(=O)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC(=O)O,8.23,train
COC(=O)C=CCBr,1.48,validation
COC(=O)C=CCF,1.08,validation
COC(=O)C=CCn1cc([N+](=O)[O-])nc1C,0.16,train
COC(=O)C=CCn1ccnc1[N+](=O)[O-],0.32,train
COC(=O)C=CCn1cnc([N+](=O)[O-])n1,0.09,validation
COC(=O)C=CN1CC1,-0.26,train
COC(=O)C=COc1ccccc1,2.68,validation
COC(=O)C=COc1ccccc1Cl,3.02,validation
COC(=O)C=Cc1ccc(O)c(OC)c1,1.7,train
COC(=O)C=O,-1.12,train
COC(=O)CBr,0.72,train
COC(=O)CC#N,-0.47,train
COC(=O)CC(=O)CCl,-0.44,train
COC(=O)CC(=O)OC,-0.05,train
COC(=O)CC(Br)(Br)C(=O)OC,1.69,train
COC(=O)CC(C)=O,-0.69,validation
COC(=O)CC(C)C,1.82,train
COC(=O)CC(C)C(=O)O,0.54,train
COC(=O)CC(C)C(=O)OC,0.82,train
COC(=O)CC(C)Sc1ccccc1,2.61,test
COC(=O)CC(CN)c1ccc(Cl)cc1,0.48,validation
COC(=O)CC(Cl)CF,1.48,train
COC(=O)CC(O)(CC(=O)OC)C(=O)OC,-1.14,test
COC(=O)CC(O)(CCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,2.05,validation
COC(=O)CC(S)C(=O)OC,0.27,train
COC(=O)CC(SP(=O)(OC)OC)C(=O)OC,-0.46,test
COC(=O)CC(SP(=S)(OC)OC)C(=O)OC,1.31,train
COC(=O)CC(Sc1ccccc1)C(=O)OC,1.96,train
COC(=O)CC1CCC(CC(=O)OC)N1C,0.82,train
COC(=O)CCBr,1.21,test
COC(=O)CCC#N,-0.11,train
COC(=O)CCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.43,train
COC(=O)CCC(=O)Nc1ccc2c(c1)-c1ccccc1C(=O)C2=O,2.72,train
COC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c1cc(NC(=O)CCC(=O)OC)ccc1-2,2.67,test
COC(=O)CCC(=O)O,0.12,train
COC(=O)CCC(=O)OC,0.35,train
COC(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.6,train
COC(=O)CCC(Br)C(C)=O,0.56,test
COC(=O)CCC(C)=O,-0.13,train
COC(=O)CCC(Cl)C(C)=O,0.47,train
COC(=O)CCC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)OC,0.54,test
COC(=O)CCCBr,1.7,train
COC(=O)CCCC(=O)Nc1ccc2c(c1)-c1ccccc1C(=O)C2=O,2.96,train
COC(=O)CCCC(=O)OC,0.62,train
COC(=O)CCCC(Cl)(Cl)C(=O)OC,2.49,validation
COC(=O)CCCCC(=O)O,1.1,train
COC(=O)CCCCC(=O)OC,1.03,train
COC(=O)CCCCC(S)CCS,2.27,validation
COC(=O)CCCCCC(=O)OC,1.38,test
COC(=O)CCCCCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.7,train
COC(=O)CCCCCCC(=O)Nc1ccc2c(c1)-c1ccccc1C(=O)C2=O,2.6,train
COC(=O)CCCCCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2,2.9,train
COC(=O)CCCCCCC(=O)OC,2.37,train
COC(=O)CCCCCCCCC(=O)OC,3.35,train
COC(=O)CCCCCCCCCCC(=O)OC,4.33,validation
COC(=O)CCCCCCCCCCCC(=O)OC,4.82,test
COC(=O)CCCCCCCCCCCCCCCCCF,8.17,train
COC(=O)CCCCCF,2.28,train
COC(=O)CCCCl,1.61,train
COC(=O)CCCF,1.3,test
COC(=O)CCCN1CCCC1,1.43,train
COC(=O)CCCN1CCCCC1,1.92,validation
COC(=O)CCCN1CCOCC1,0.17,train
COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0.18,train
COC(=O)CCCO,-0.06,train
COC(=O)CCC[N+](=O)[O-],0.49,validation
COC(=O)CCCc1ccccc1,2.77,train
COC(=O)CCCc1ccnc(C)c1,2.42,train
COC(=O)CCCl,1.12,train
COC(=O)CCN(C(=O)c1ccco1)c1c(C)cccc1C,2.61,test
COC(=O)CCN(C)C,0.07,test
COC(=O)CCN1CCCC1,0.94,train
COC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.76,train
COC(=O)CCO,-0.6,train
COC(=O)CCS,0.81,train
COC(=O)CCSc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,3.9,validation
COC(=O)CCSc1ccccc1,2.04,test
COC(=O)CCc1c[nH]c2ccccc12,2.63,train
COC(=O)CCc1ccc(OCC(O)CN(Cl)C(C)C)cc1,0.15,train
COC(=O)CCc1ccccc1,2.32,train
COC(=O)CCl,0.63,train
COC(=O)CCn1cc(-c2cc(NC3CC3)n3ncc(C#N)c3n2)c2cc(NC(C)=O)ccc21,2.72,train
COC(=O)CF,0.31,train
COC(=O)CN(C)C,-0.42,train
COC(=O)CN1CCCC1,0.45,train
COC(=O)CNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.69,train
COC(=O)CNC(=O)C=CCOP(=O)(OC)OC,-1.32,test
COC(=O)CNC(=O)Cn1c(C)nc2ccccc2c1=O,0.4,train
COC(=O)CNC(=O)c1ccc(N)cc1,-0.23,train
COC(=O)CNC(=O)c1ccccc1,0.82,train
COC(=O)CON,-0.86,train
COC(=O)CO[N+](=O)[O-],0.3,train
COC(=O)COc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,0.55,train
COC(=O)COc1cc(Cl)c(Cl)cc1Cl,3.55,train
COC(=O)COc1ccc(C(=O)Nc2ccc(F)cc2)cn1,2.43,train
COC(=O)COc1ccc(Cl)cc1Cl,2.9,validation
COC(=O)COc1ccc(O)cc1,0.92,train
COC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,1.54,train
COC(=O)COc1ccc2ccccc2c1,2.79,validation
COC(=O)COc1ccccc1,1.41,train
COC(=O)COc1ccccc1C,2.08,train
COC(=O)CS,0.32,train
COC(=O)CS(=O)(=O)c1ccc(Br)cc1,1.52,train
COC(=O)CS(=O)(=O)c1ccc(Cl)cc1,1.31,train
COC(=O)CS(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-],1.3,test
COC(=O)CS(=O)(=O)c1ccccc1,0.93,test
COC(=O)CS(=O)(=O)c1ccccc1[N+](=O)[O-],0.78,train
COC(=O)CS(=O)c1ccc(Cl)cc1[N+](=O)[O-],1.29,train
COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1,0.8,test
COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1Cl,1.35,train
COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.63,validation
COC(=O)CS(=O)c1ccccc1[N+](=O)[O-],0.74,train
COC(=O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,3.77,train
COC(=O)CSc1ccc([N+](=O)[O-])cc1Cl,2.26,train
COC(=O)CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.05,train
COC(=O)CSc1ccccc1,1.5,train
COC(=O)CSc1ccccc1[N+](=O)[O-],1.88,train
COC(=O)C[N+](=O)[O-],0.5,validation
COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,4.88,train
COC(=O)Cc1ccc(-n2sc3ccccc3c2=O)cc1,2.83,train
COC(=O)Cc1ccc(O)c2ncccc12,1.59,train
COC(=O)Cc1ccc(O)cc1,1.63,test
COC(=O)Cc1ccc2cc(OC)ccc2c1,3.04,train
COC(=O)Cc1cccc2ccccc12,3.26,test
COC(=O)Cc1ccccc1,1.83,train
COC(=O)Cc1cccs1,1.51,train
COC(=O)Cc1ccsc1,1.46,train
COC(=O)Cl,0.14,train
COC(=O)Cn1c(C)nc2ccccc2c1=O,1.46,train
COC(=O)Cn1c([N+](=O)[O-])cnc1C,0.17,train
COC(=O)Cn1ccnc1[N+](=O)[O-],-0.09,train
COC(=O)Cn1cnc([N+](=O)[O-])n1,-0.38,train
COC(=O)N(C(=O)N1COC2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,4.65,validation
COC(=O)N(C(C)=O)c1ccccc1C(=O)O,1.2,train
COC(=O)N(C)C(=O)CSP(C)(=S)OC,0.83,train
COC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.4,validation
COC(=O)N(C)SN(C)C(=O)ON=C(SC)C(=O)N(C)C,-0.07,train
COC(=O)N(CCCl)N=O,1.47,train
COC(=O)N(CCN(CCN(C(=O)OC)C(=O)OC)CC(=O)O)C(=O)OC,-2.03,train
COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,3.99,train
COC(=O)N1CC1,0.25,train
COC(=O)N1CCN(c2ccnc(-n3ccnc3)n2)C(CC(=O)NCc2ccc3c(c2)OCO3)C1,1.88,train
COC(=O)N1CCOc2cc(COc3ccccc3)cnc21,2.5,validation
COC(=O)N=C1NCC(c2ccccc2F)N1C,1.53,train
COC(=O)NC(=O)Cn1c(C)nc2ccccc2c1=O,0.4,train
COC(=O)NC(=S)Nc1ccccc1N,0.7,train
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1.4,validation
COC(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.86,validation
COC(=O)NC(N)=O,-0.35,train
COC(=O)NC1=NCC(c2cc(Br)ccc2Br)N1C,2.77,train
COC(=O)NC1=NCC(c2ccc(C(C)C)cc2)N1,2.6,validation
COC(=O)NC1=NCC(c2ccc(C=O)cc2)N1C,0.74,train
COC(=O)NC1=NCC(c2ccc(Cl)cc2)N1C,2.17,train
COC(=O)NC1=NCC(c2cccc(Br)c2)N1,2.09,train
COC(=O)NC1=NCC(c2cccc(Cl)c2)N1C,2.1,train
COC(=O)NC1=NCC(c2cccc(F)c2)N1,1.41,train
COC(=O)NC1=NCC(c2ccccc2)N1C,1.57,train
COC(=O)NC1=NCC(c2ccccc2Br)N1,1.85,test
